E.tau.hat,E.SE.hat,ES,power,nC,nT,sd,tau,mu,R
0.005675475871027882,0.9365649306777507,0,0.116,500,4,2,0,5,500
0.4761398971177993,0.9117364392633907,0.25,0.18,500,4,2,0.5,5,500
0.9431122378154915,0.8976605173635501,0.5,0.274,500,4,2,1,5,500
6.671618077413969e-6,0.36705461669606904,0,0.09,500,7,1,0,5,500
0.5284709681063613,0.37915853777857456,0.5,0.314,500,7,1,0.5,5,500
0.9958381005809603,0.37315227475626944,1,0.706,500,7,1,1,5,500
-0.05904574997627397,0.7313877199664208,0,0.112,500,7,2,0,5,500
0.5058047178981874,0.7263332637143552,0.25,0.16,500,7,2,0.5,5,500
1.0191902872831025,0.7317853635700869,0.5,0.342,500,7,2,1,5,500
-0.019408325046885798,0.3056751526470489,0,0.094,500,10,1,0,5,500
0.4950136578146388,0.30570111853768944,0.5,0.388,500,10,1,0.5,5,500
0.9844563230024658,0.310146261926779,1,0.878,500,10,1,1,5,500
-0.015376865413778031,0.6119850469836261,0,0.078,500,10,2,0,5,500
0.4926941499409401,0.6108004525369791,0.25,0.162,500,10,2,0.5,5,500
0.9627910277224311,0.6211950484575258,0.5,0.362,500,10,2,1,5,500
-0.009877717719109974,0.1470267725182942,0,0.046,500,50,1,0,5,500
0.5075410901562885,0.1472465390084086,0.5,0.922,500,50,1,0.5,5,500
1.0018040379371076,0.14785611236386365,1,1,500,50,1,1,5,500
0.014097611395728543,0.29437451862449715,0,0.044,500,50,2,0,5,500
0.4850453300496413,0.29661873127076893,0.25,0.372,500,50,2,0.5,5,500
1.0072627444503135,0.29834970857131116,0.5,0.916,500,50,2,1,5,500
0.0024712944695146765,0.06323939713487678,0,0.06,500,500,1,0,5,500
0.49748155238513386,0.06321832221913856,0.5,1,500,500,1,0.5,5,500
1.001149200027392,0.06327326085885446,1,1,500,500,1,1,5,500
7.312369351452794e-4,0.12632834896775733,0,0.066,500,500,2,0,5,500
0.5083434629632029,0.12666901215463283,0.25,0.984,500,500,2,0.5,5,500
1.0013185491366772,0.12646226745933173,0.5,1,500,500,2,1,5,500
